Don't you hate jokes about German sausage? ,They're the wurst!
Two artists had an art contest...,It ended in a draw
Why did the chicken cross the playground?,To get to the other slide.
Broken pencils...,...are pointless.
What is Forrest Gump's email password?,1forrest1.
"I went for a job interview today... The interviewer said to me: ""What would you say your greatest weakness is?""","I said: ""I think I'd have to say my listening skills are my greatest strength."""
Who was the knight that invented the round table?,Sir Cumference. 
Why do gorillas have such big nostrils?,Cause they got big fingers.
What do vegan zombies eat?,GRAAAIIINSSS!
What do you call a car that eats other cars?,A carnivore.
Did you hear about the kidnapping? ,Don't worry the teacher woke him up. 
Why did the golfer wear two pairs of pants?,In case he gets a hole in one.
Knock knock... Who's there? I did up.,I did up-who?
Did you hear about the Italian chef? ,She pasta-way.
What do you get for the women who has everything?,A divorce: then she'll only have half of everything.
There was a depressed sausage...,...he thought his life was THE WURST.
What's a dog's favorite mode of transportation?,A waggin' . 
Why did the sand dune blush?,Because the sea weed
What happened to the tyrannical peach?,He got impeached!
Why do elephants paint their toenails red?,So they can hide in cherry trees. (You ever seen an elephant in a cherry tree? Then it's working.)
What did the German physicist use to drink his beer?,Ein stein.
What did Earth say to the other planets?,You guys have no life!
Wanna hear a dirty joke? ,Two white stallions fell in the mud.
Why do Java Developers need glasses?,Because they can't C#.
I'm reading a book about anti-gravity... , ... It's impossible to put down.
Why is Dr. Frankenstein never lonely?,He's good at making friends.
What do you call a pig that does karate? ,A pork chop.
What was the car doing in the dressing room?,Changing attire.
Why did the bicycle fall over?,Because it was two-tired.
Why did the jellyroll?,He saw the apple turnover.
What did the fish say when it hit the wall? ,Dam.
How does a mathematician get Tan? ,Sin/Cos.
Where did Sally go after the explosion?,Everywhere.
Breaking news! Energizer Bunny arrested…, ...charged with battery.
Why are there only two hundred and thirty nine beans in a bowl of bean soup?,Because just one more and it would be two-farty.
What does a nosey pepper do?,It gets jalapeno business.
Max wondered why the ball was slowly growing larger... ,….and then it hit him.
"What goes Hahahahaha...*thud*?",Someone laughing their head off.
What do you call a cow that just gave birth? ,Decaffeinated.
A blind man walks into a bar.,And a table. And a door. And a staircase.
Why do cows wear bells?,Because their horns don't work.
What is Mozart doing right now? ,Decomposing.
How do you make a squid laugh? ,Ten tickles.
What do you call a cow that doesn't give milk?,A Milk Dud.
What do you do to dead chemists?,You Barium.
I farted on an elevator...,…it was wrong on so many levels.
Why was the dolphin happy and the shark depressed? ,The sharks life lacked porpoise.
Who was the chicken's favorite musician? ,BAAAACH BACH BACH BACH
Why did the lion spit out the clown? ,Because he tasted funny.
Why was the math book sad? ,It had a lot of problems.
Every single morning I get hit by the same bike... ,It's a vicious cycle.
What do you call a cow with no legs? ,Ground beef!
What's brown and sticky? ,A stick.
What was Beethoven's favorite fruit? ,BA-NA-NA-NA!
Why did the tissue get up and dance? ,It had a little boogy in it.
Today a man knocked on my door and asked for a small donation towards the local swimming pool. ,I gave him a glass of water.
What's the best way to a mathematician's heart?,An acute angle…or maybe I'm just being obtuse…
If you're American when you go in a bathroom and American when you come out…what are you in the bathroom?,European.
Did you hear the one about the constipated mathematician? ,He worked his problem out with a pencil.
What do you call a one-eyed dinosaur?,Doyouthinkhesarus
I wanna make a joke about sodium.,But Na.
What did the eye say to the other eye?,Something smells between us.
What do you call a truthful piece of paper? ,Fax.
What do you call a fish with no eye?,fsh.
What goes oh oh oh?,Santa walking backwards.
Why can't you hear a pterodactyl use the restroom? ,Because the *p* is silent.
Have you seen the movie about constipation?,It hasn't come out yet!
What did the buffalo say to his son when he left for college? ,Bison.
Which Pokemon got a cold?,Pik-a-choo.
What do you call a person who farts in private?,A private tutor.
What do you call a cow with a twitch? ,Beef jerky.
There were two flies sitting on a toilet seat... ,...one got pissed off.
What other body parts did Voldemort not have apart from his nose?,His legs and arms... because he was disarmed and defeated.
Why couldn't Bach pay for his dinner? ,Because he was Baroque.
If you have bladder problems…,Urine trouble.
